"Land Area","Unit","2014","S_2014"
"Afghanistan","t","1000","F"
"Albania","t","5731.5",""
"Algeria","t","97741",""
"American Samoa","t","2591",""
"Angola","t","442074",""
"Anguilla","t","876",""
"Antigua and Barbuda","t","3114",""
"Argentina","t","829935",""
"Argentina","no","8931",""
"Armenia","t","4795",""
"Aruba","t","142","F"
"Australia","t","154344.201",""
"Australia","no","30792",""
"Austria","t","350",""
"Azerbaijan","t","878",""
"Bahamas","t","11878.22",""
"Bahrain","t","15854",""
"Bangladesh","t","1591190",""
"Bangladesh","no","430",""
"Barbados","t","3000","F"
"Belarus","t","766",""
"Belgium","t","26793",""
"Belize","t","76187",""
"Benin","t","47572",""
"Bermuda","t","417",""
"Bhutan","t","3","F"
"Bolivia (Plurinat.State)","t","6990",""
"Bolivia (Plurinat.State)","no","45645",""
"Bonaire/S.Eustatius/Saba","t","222",""
"Bosnia and Herzegovina","t","305","F"
"Botswana","t","1168",""
"Botswana","no","4500",""
"Brazil","t","767026",""
"Brazil","no","61",""
"British Indian Ocean Ter","t","9",""
"British Virgin Islands","t","1205","F"
"Brunei Darussalam","t","3186",""
"Bulgaria","t","8688",""
"Burkina Faso","t","20700",""
"Burundi","t","16054",""
"Cabo Verde","t","35680",""
"Cambodia","t","625255","F"
"Cambodia","no","7602",""
"Cameroon","t","225000","F"
"Canada","t","876725",""
"Canada","no","59488",""
"Cayman Islands","t","125",""
"Central African Republic","t","29000","F"
"Chad","t","120020",""
"Channel Islands","t","2983",""
"Chile","t","2592817",""
"China","t","17352110.36",""
"China, Hong Kong SAR","t","160789","F"
"China, Macao SAR","t","1500","F"
"Colombia","t","108941",""
"Colombia","no","470251",""
"Comoros","t","9255",""
"Congo","t","73438",""
"Congo, Dem. Rep. of the","t","223800","F"
"Cook Islands","t","4103",""
"Costa Rica","t","19500","F"
"Croatia","t","79353",""
"Cuba","t","22037","F"
"Curaçao","t","28494",""
"Cyprus","t","1279",""
"Czechia","t","3812",""
"Côte d'Ivoire","t","74900",""
"Denmark","t","745146",""
"Djibouti","t","2298",""
"Dominica","t","540","F"
"Dominican Republic","t","13782",""
"Ecuador","t","663540",""
"Egypt","t","344792",""
"El Salvador","t","65137",""
"Equatorial Guinea","t","7600","F"
"Eritrea","t","4000","F"
"Estonia","t","68196",""
"Ethiopia","t","50119",""
"Falkland Is.(Malvinas)","t","79435",""
